team_id,category_id,category_rank,team_total_time,team_total_seconds,team_name,team_avg_time,team_avg_seconds
240,12,46,8:47:38,31658,Hyatt Alberni,1:05:58,3958
241,12,47,8:49:27,31767,Willow,1:06:11,3971
242,12,48,8:50:22,31822,Village Physio,1:06:18,3978
243,12,49,8:51:17,31877,Paradox Vancouver,1:06:25,3985
244,12,50,8:57:24,32244,Pediatric Transplant Research,1:07:11,4031
245,12,51,8:58:30,32310,Fully Delighted,1:07:19,4039
246,12,52,9:03:34,32614,BUH Baby Catchers,1:07:57,4077
247,12,53,9:05:50,32750,Rosewood Hotel Georgia,1:08:14,4094
248,12,54,9:06:12,32772,Mango Medical,1:08:17,4097
249,12,55,9:07:27,32847,2026 TravelVAX,1:08:26,4106
250,12,56,9:08:04,32884,RCH Wellness,1:08:31,4111
251,12,58,9:38:46,34726,MD4ME,1:12:21,4341
252,12,59,9:46:13,35173,Cirque du Sore Legs,1:13:17,4397
253,12,60,9:57:47,35867,The Cranial Crew,1:14:44,4484
254,12,61,10:00:21,36021,Auberge Vancouver Hotel,1:15:03,4503
255,12,62,10:05:40,36340,NobleGoGo,1:15:43,4543
256,12,63,10:16:00,36960,Terra Nova,1:17:00,4620
257,12,64,10:17:01,37021,Lifemark BC,1:17:08,4628
258,12,65,10:27:57,37677,Delta Hospital Emergency Department,1:18:30,4710
259,12,66,10:29:56,37796,BC Women's Hospital,1:18:45,4725
260,12,66,10:29:56,37796,Renal Runners,1:18:45,4725
261,12,68,10:36:17,38177,Fairmont Vancouver Airport,1:19:33,4773
262,12,69,10:51:25,39085,Longevity: 100 years to Thrive,1:21:26,4886
263,12,70,11:15:27,40527,Lions Gate Colon Cruisers,1:24:26,5066
264,12,71,11:40:12,42012,Baby Steps,1:27:32,5252
265,12,72,12:23:59,44639,The Pacers: Mind over Mileage,1:33:00,5580
266,12,73,12:47:45,46065,New Westminster Family Practice,1:35:59,5759
267,12,74,12:48:49,46129,Scrubs to Strides,1:36:07,5767
268,12,75,13:48:01,49681,Tumornators,1:43:31,6211
269,13,38,8:03:47,29027,Revamp Wellness,1:00:29,3629
270,13,39,8:23:13,30193,Trinity Physiotherapy. Sport & Wellness,1:02:55,3775
271,13,40,8:24:26,30266,F45SC,1:03:04,3784
272,13,41,8:33:04,30784,LifeLabs,1:04:08,3848
273,13,42,8:39:29,31169,SignalChem,1:04:57,3897
274,13,43,8:40:56,31256,Burnaby MXNS,1:05:07,3907
275,13,44,8:59:22,32362,Fair haven Homes Society,1:07:26,4046
276,13,45,9:01:30,32490,BELVEDERE CARE CENTRE,1:07:42,4062
277,13,46,9:03:14,32594,Marching for Mary,1:07:55,4075
278,13,47,9:08:09,32889,bioLytical,1:08:32,4112
279,13,48,9:09:52,32992,VEGA STRENGTH & CONDITIONING,1:08:44,4124
280,13,49,9:40:01,34801,The Pilluminati,1:12:31,4351
281,13,50,9:53:10,35590,Cloud Pharmacy,1:14:09,4449
282,13,51,9:54:55,35695,VDoFP,1:14:22,4462
283,13,52,9:57:36,35856,Team GMT/GPP/CHMT,1:14:42,4482
284,13,53,10:01:04,36064,Pharmasave Rx Runners,1:15:08,4508
285,13,54,10:09:13,36553,S.W.A.T.T.,1:16:10,4570
286,13,55,10:38:22,38302,Mt. Pleasant Optometry,1:19:48,4788
287,13,56,10:49:02,38942,Mt. Pleasant Counselling,1:21:08,4868
288,13,57,10:53:24,39204,N'Quatqua Matq,1:21:41,4901
289,13,58,10:56:51,39411,Kaigo Senior Living,1:22:07,4927
290,13,59,11:02:36,39756,NO team,1:22:50,4970
291,13,60,11:37:43,41863,7AB,1:27:13,5233
292,13,61,11:44:35,42275,WINSOME PILATES,1:28:05,5285
293,13,62,11:46:57,42417,Indigo Pharmacy,1:28:23,5303
294,13,63,12:00:57,43257,EYE STATION,1:30:08,5408
295,13,64,12:39:22,45562,MACL Runners,1:34:56,5696
296,13,65,13:06:20,47180,PIB Sun Run 2026,1:38:18,5898
297,13,66,13:10:40,47440,WW in the wild,1:38:50,5930
298,13,67,13:49:51,49791,Kare Hands Home care & Respite,1:43:44,6224
299,13,68,14:23:58,51838,Vitamin D(ead),1:48:00,6480
300,13,69,14:32:05,52325,Xeni Gwet'in Walking Group,1:49:01,6541
301,13,70,17:12:44,61964,Xa'xtsa Spirit of Freedom,2:09:06,7746
302,14,67,8:03:57,29037,MongoDB WiredTigers,1:00:30,3630
303,14,68,8:04:28,29068,MOTION METRICS (WEIR MOTION METRICS),1:00:34,3634
